<<<<<<< HEAD
²£«~¥N¸¹,¼tµP,«~¦W,¸Ô²Ó,³æ»ù,Åé¿n,­«¶q,ºØÃş½s¸¹,ºØÃş
2-55,Ãö¤s¹A·|,Ãö¤sÁW¦Ì,2kg/¥],165,2320,2000,B1,¦Ì
2-56,Ãö¤s¹A·|,Ãö¤s­FªŞ¦Ì,2kg/¥],170,1740,2000,B1,¦Ì
2-57,¤¤¿³,Áé·R¤@¥Í¾i¥Í¤Q½\¦Ì,1.2kg/¥],139,1408,1200,B1,¦Ì
2-58,¤¤¿³,Àn¥İÁW¦Ì,1.5kg/¥],145,1530,1500,B1,¦Ì
2-59,¤¤¿³,ÁW¦Ì,2kg/¥],99,2079,2000,B1,¦Ì
2-60,¤¤¿³,­FªŞ¦Ì,2kg,89,1783.5,2000,B1,¦Ì
2-61,»È¤t,¦³¾÷ÁW¦Ì,1.5kg/¥],223,1900,1500,B1,¦Ì
2-62,¬Ó®aâB³ù,ÁW¦Ì,1.5kg/¥],129,2070,1500,B1,¦Ì
2-63,¬Ó®aâB³ù,­FªŞÁW¦Ì,2.5kg/¥],128,1600,2500,B1,¦Ì
2-64,¬Ó®aâB³ù,ÁW¦Ì,2.5kg/¥],149,1600,2500,B1,¦Ì
3-1,¤Y²ø,ªQ¯Å½®ªo,500ml/²~,105,990,341,C1,Âæªo
3-2,¤Y²ø,·¥«~¶Â¨§½®ªo²M,300ml/²~,79,648,345,C1,Âæªo
3-3,¤Y²ø,·¥«~½®ªo»I,350g/²~,79,648,311,C1,Âæªo
3-4,¤j¦P,¤H¯Å½®ªo»I,420ml,53,990,192,C1,Âæªo
3-5,¤j¦P,¨ıÀM¯ÂÆCÂæªo,400ml,109,990,266,C1,Âæªo
3-6,¤j¦P,¬îµâªo»I,420ml,95,990,171,C1,Âæªo
3-7,¤j¦P,¬îµâ¶Â¨§ªo»I,400ml,95,990,288,C1,Âæªo
3-8,¤j¦P,¬îµâ¶Â¨§Âæªo,400ml,69,990,187,C1,Âæªo
3-9,¤j¦P,³ÓÂæ½®ªo»I,420ml,78,990,212,C1,Âæªo
3-10,¤j¦P,´ò©³Á¡ÆQ½®ªo,400ml,82,990,333,C1,Âæªo
3-11,¤j¦P,¶Â¤Ú®á¶Â¨§¯ÂÆCÂæªo,420ml,139,990,256,C1,Âæªo
3-12,¤j¦P,½®ªo»I,420ml,45,990,186,C1,Âæªo
3-13,§õÀA°O,¥Ì²¢ªoÅS,410g,79,954,410,C1,Âæªo
3-14,§õÀA°O,ºµ¿ßÄ®ªo,255g,59,559.625,255,C1,Âæªo
3-15,§õÀA°O,ºµ¿ßÄ®ªo,510g,87,918,510,C1,Âæªo
3-16,§õÀA°O,»]³½ªoÅS,410g,87,954,410,C1,Âæªo
3-17,§õÀA°O,ÂÂÉÜ¯S¯ÅÄ®ªo,255g,95,559.625,255,C1,Âæªo
3-18,§õÀA°O,ÂÂÉÜ¯S¯ÅÄ®ªo,510g,158,918,510,C1,Âæªo
3-19,¨ı¤ı,ª÷¨ı¤ıÂæªo,1000ml,50,1376,500,C1,Âæªo
3-20,¨ı¤ı,°ü¤ÍÂæªo,1000ml,32,1376,500,C1,Âæªo
3-21,¨ı¤ı,·¥«~ÂæªoÅS,750ml,57,1659.375,550,C1,Âæªo
3-22,¨ı¤ı,ÂæªoÅS,1000ml,60,1376,500,C1,Âæªo
3-23,ª÷Äõ,¥ÌÅSÂæªo,295ml/²~,34,756,120,C1,Âæªo
3-24,ª÷Äõ,¥ÌÅSÂæªo,500ml,59,1176,250,C1,Âæªo
3-25,ª÷Äõ,¹ª¦ŞÂæªo,590ml,72,1176,555,C1,Âæªo
3-26,ª÷Äõ,ºëÆC³y¥Ì¾Jªo»I,590ml,36,1176,349,C1,Âæªo
3-27,ª÷Äõ,ºëÆC³yªo»I,590ml,36,1176,364,C1,Âæªo
3-28,ª÷Äõ,Á¡ÆQÂæªo,590ml,55,1176,444,C1,Âæªo
3-29,ª÷Äõ,Âæªo®à¤W²~,148ml/¬Á¼ş,33,432,431,C1,Âæªo
3-30,²Î¤@,¥|©uÂæªo,870ml,49,1856,251,C1,Âæªo
3-31,²Î¤@,°ª¯ÂÆCÂæªo,870ml,67,1856,313,C1,Âæªo
3-32,²Î¤@,Àt¥Ò¸U¥Ì¾JÂæªo,1000ml/²~,67,1376,382,C1,Âæªo
3-33,²Î¤@,Àt¥Ò¸U®Æ«F©MÅS,370ml/²~,74,1127,523,C1,Âæªo
3-34,²Î¤@,Àt¥Ò¸U®Æ«F©MÅS (­»Û£©ø¥¬),370ml/²~,79,1127,591,C1,Âæªo
3-35,²Î¤@,Àt¥Ò¸UÂA¬üÅS,340ml/²~,72,980,559,C1,Âæªo
3-36,¸U®a­»,¤j§uÆCÁ¡ÆQÂæªo,300ml/²~,45,866.125,527,C1,Âæªo
3-37,¸U®a­»,¤j§uÆCÂæªo,300ml/²~,36,866.125,435,C1,Âæªo
3-38,¸U®a­»,¤j§uÆCÄ®ªo,1000ml,65,1878.5,493,C1,Âæªo
3-39,¸U®a­»,­»Û£¯ÀÄ®ªo,1000ml,64,1878.5,562,C1,Âæªo
3-40,¸U®a­»,­»Û£¯ÀÄ®ªo,300ml,31,756,471,C1,Âæªo
3-41,¸U®a­»,¯ÂÆC³yªo»I,360g/²~,35,1237.5,308,C1,Âæªo
3-42,¸U®a­»,³ı©³ªo,1000ml,58,1878.5,332,C1,Âæªo
4-1,¥xÆWµÒ°s,¬õ¼Ğ®Æ²z¦Ì°s,,25,1421,596,D1,°s
4-2,¥xÆWµÒ°s,¯S¯Å¬õ¼Ğ¦Ì°s,,38,792,400,D1,°s
4-3,¥xÆWµÒ°s,¬õ¼Ğ¦Ì°s¤ô,,47,1421,551,D1,°s
4-4,¥xÆWµÒ°s,¯S¯Å¬õ¼Ğ¯Â¦Ì°s,,45,792,417,D1,°s
4-5,¤jóç,¤Ñ¨ı¦Ì°s,,26,1372,285,D1,°s
4-6,¼sºÖ,¬ü»ñ®Æ²z¦Ì°s,,24,1127,528,D1,°s
4-7,,¬K«B®Æ²z¦Ì°s,,24,1127,350,D1,°s
5-1,¥x¿}, ¤G¸¹¬â¿} ,1kg/¥],36,504,1000,E1,¿}
5-2,¥x¿}, ¶L¸¹¬â¿} ,500g/¥],23,633.6,500,E1,¿}
6-1,¥xÆQ,°·±d´î¶uÆQ,300g/Åø,55,567,300,F1,ÆQ
6-2,¥xÆQ,¤ÑµM¶WÂAÆQ,300g/Åø,49,567,300,F1,ÆQ
6-3,¥xÆQ,¥xÆWºë½o®üÆQ,300g/Åø,49,567,300,F1,ÆQ
6-4,¥xÆQ,°·±d¬ü¨ıÆQ,300g/Åø,55,972,300,F1,ÆQ
6-5,¥xÆQ,­ì¨ı®Æ²zÆQ,500g/¥],55,528,500,F1,ÆQ
6-6,¥xÆQ,¥xÆWªºÆQ,600g/¥],27,648,600,F1,ÆQ
6-7,¥xÆQ,¾Mº{¤ÑµM®üÆQ,600g/¥],45,648,600,F1,ÆQ
6-8,¥xÆQ,¯S¯ÅºëÆQ,1000g/¥],19,884,1000,F1,ÆQ
6-9,¥xÆQ,°ª¯ÅºëÆQ,1000g,14,884,1000,F1,ÆQ
6-10,¥xÆQ,°·±d¬ü¨ıÆQ,600g/Åø,82,567,600,F1,ÆQ
6-11,¥xÆQ,°·±d´î¶uÆQ,600g/ Åø,81,972,600,F1,ÆQ
6-12,¤Ñ¼p,³ß°¨©Ô¶®¤s©¥ÆQ²Ó²É,400g/Åø,89,608,400,F1,ÆQ
6-13,¤Ñ¼p,¯Ã¦èÄõ²ÓºëÆQ,400g/Åø,59,608,400,F1,ÆQ
6-14,¤Ñ¼p,¯Ã¦èÄõ¦³¾÷¤ÑµM®üÆQ,300g/Åø,66,608,300,F1,ÆQ
6-15,Taiwan Yes,²`´ş¨ıÆQ,300g/Åø,65,607.5,300,F1,ÆQ
6-16,AJIYO,°ª¯Å©¥ÆQ,600g/¥],26,663,600,F1,ÆQ
6-17,AJIYO,¬ü¨ı©¥ÆQ,500g/³U,79,780,500,F1,ÆQ
6-18,¯Ã¦èÄõ,¤éÅÎ®üÆQ-¥[¸K,350g/Åø,79,576,350,F1,ÆQ
6-19,²Î¤@¥Í¾÷,¤ÑµM®üÆQ,300g/Åø,55,607.5,300,F1,ÆQ
6-20,®a½÷,³ß°¨©Ô¶®¤s¦³¾÷©¥ÆQ,100g/Åø,57,182.25,100,F1,ÆQ
7-1,¤é¥¿,¥xÆW¶ı¯ª½Õ©M¦Ì¯»,300g,30,2464,300,G1,ÄÑ­¹
7-2,¤é¥¿,¥xÆWÄÑÅu¯»µ·,110g,22,1120,110,G1,ÄÑ­¹
7-3,¤é¥¿,·s¦Ë½Õ©M¦Ì¯»,260g,39,3150,260,G1,ÄÑ­¹
7-4,ªêµP,ª¤¯»,350g,35,2898,350,G1,ÄÑ­¹
7-5,ª÷¤j,¦ò¯ªµP·s¦Ë½Õ©M¦Ì¯»,200g,39,1176,200,G1,ÄÑ­¹
7-6,´­­Z,³Ó­Z¶ı¯ª·s¦Ëª¤¯»,270g,28,1840,270,G1,ÄÑ­¹
7-7,·s¦Nµo,ª¤¯»,600g,49,4480,600,G1,ÄÑ­¹
7-8,ºÖµP,¯»µ·,420g,48,2100,420,G1,ÄÑ­¹
7-9,ºÖµP,¼e¯»,320g,50,2100,320,G1,ÄÑ­¹
7-10,Às¤f,¥V¯»,105g,23,1190,105,G1,ÄÑ­¹
7-11,Às¤f,ª¤¯»,250g,25,3105,250,G1,ÄÑ­¹
7-12,Às¤f,¯»µ·,200g,75,1540,200,G1,ÄÑ­¹
7-13,Às¤f,·s¦Ëª¤¯»,200g,21,2000,200,G1,ÄÑ­¹
7-14,Às¤f,·s¦Ëª¤¯»,400g,59,3240,400,G1,ÄÑ­¹
7-15,¥¿³{,¦b®a¦YÄÑ-©ÔÄÑ,200g/¥],15,215.25,200,G2,ÄÑ­¹
7-16,¥¿³{,¦b®a¦YÄÑ-²ÓÄÑ,200g/¥],15,215.25,200,G2,ÄÑ­¹
7-17,¥¿³{,¦b®a¦YÄÑ-ªoÄÑ,200g/¥],15,215.25,200,G2,ÄÑ­¹
7-18,¥¿³{,¦b®a¦YÄÑ-¹ØÄÑ½u,200g/¥],15,215.25,200,G2,ÄÑ­¹
7-19,¥¿³{,¦b®a¦YÄÑ¥_¤è²ÓÄÑ,300g/¥],22,399,300,G2,ÄÑ­¹
7-20,¥¿³{,¦b®a¦YÄÑ¥_¨Ê©ÔÄÑ,300g/¥],22,399,300,G2,ÄÑ­¹
7-21,¤­¤ì,ÄÑ¤j®v-©M­·ÄÑ±ø,300g/¥],25,400,300,G2,ÄÑ­¹
7-22,¤­¤ì,ÄÑ¤j®v-Äõ¦{©ÔÄÑ,300g/¥],21,400,300,G2,ÄÑ­¹
7-23,¤­¤ì,¯QÀsÄÑ,300g/¥],25,440,300,G2,ÄÑ­¹
7-24,¤­¤ì,Àç¾iÄÑ±ø,300g,25,440,300,G2,ÄÑ­¹
7-25,¤­¤ì,ÃöªFÄÑ,375g/¥],35,440,375,G2,ÄÑ­¹
7-26,¤­¤ì,²ÓÃöªFÄÑ,375¤½§J/¥],36,440,375,G2,ÄÑ­¹
7-27,Às¤f,¥xÆWªoÄÑ,350g/¥],32,440,350,G2,ÄÑ­¹
7-28,²Î¤@,¦n«l¹D-¤ë¨£Âû³J­·¨ıÄÑ,300g/¥],23,440,300,G2,ÄÑ­¹
7-29,²Î¤@,¦n«l¹D-®a±`ÄÑ±ø,300g/¥],23,440,300,G2,ÄÑ­¹
7-30,²Î¤@,¦n«l¹D-¼eª©¤jÄÑ,300g/¥],23,440,300,G2,ÄÑ­¹
7-31,²Î¤@,¦n«l¹D-¤d¦Ğ©ÔÄÑ,320g/¥],32,440,320,G2,ÄÑ­¹
7-32,¤é¥»,Ægª[¯QÀsÄÑ,300g/¥],89,594,300,G2,ÄÑ­¹
7-33,¤é¥»,Ægª[¯S§O¤uªkÁ¡¤Á¯QÀsÄÑ,220g/¥],139,621,220,G2,ÄÑ­¹
8-1,3ÂI1¨è,¤é¤ë¼æ¥¤¯ù,20g*15¥]/³U,139,4155.3,300,H1,¨Rªw
8-2,3ÂI1¨è,¨RÃ·¶Â¿}¥¤¯ù,20g*15¥]/³U,123,4155.3,300,H1,¨Rªw
8-3,3ÂI1¨è,¸g¨å§BÀï¥¤¯ù,20g*15¥]/³U,109,4155.3,300,H1,¨Rªw
8-4,3ÂI1¨è,¸g¨åª´ºÀªáªG¥¤¯ù,20g*15¥]/³U,123,4155.3,300,H1,¨Rªw
8-5,3ÂI1¨è,¸g¨å¬´¿N¥¤¯ù,20g*15¥]/³U,139,4155.3,300,H1,¨Rªw
8-6,3ÂI1¨è,¸g¨å­ì¨ı¥¤¯ù,20g*15¥]/³U,107,4155.3,300,H1,¨Rªw
8-7,T¥@®a,­ì¨ı©Ù¯ù®³ÅK,18g*18¤J,169,3960,324,H1,¨Rªw
8-8,T¥@®a,¶Â¿}©Ù¯ù®³ÅK,18g*18¤J,78,3960,324,H1,¨Rªw
8-9,¥@®a,¥È¦Ì©Ù¯ù®³ÅK,18g*18¤J,169,3960,324,H1,¨Rªw
8-10,¥ß¹y,¥¤¯ù¯»ªF¤èµH­»¯QÀs¶q³c¥],19g*18¤J/¥],129,3565,342,H1,¨Rªw
8-11,¥ß¹y,¥¤¯ù¯»­^¦¡¸g¨å³U¸Ë,17.5g*18¤J/¥],135,3565,315,H1,¨Rªw
8-12,¥ß¹y,¥¤¯ù¯»­ì¨ı¶q³c¥],20g*24¤J/¥],130,3565,480,H1,¨Rªw
8-13,¥ß¹y,¥¤¯ù¯»­ì¨ıÅø¸Ë,450g,115,1173.25,450,H1,¨Rªw
8-14,¥ß¹y,¥¤¯ù¯»´ä¦¡ÀpÀm©@°Ø¥¤¯ù¶q³c¥],18.5g*16,135,3565,296,H1,¨Rªw
8-15,§B®Ô,3¦X1¥¤¯ù,15g*30¥],99,3680,450,H1,¨Rªw
8-16,§B®Ô,¥¤¯ù3¦X1,17g*45¥]/³U,135,3680,765,H1,¨Rªw
8-17,®Û®æ,¥_®ü¹DÂA¥¤¯ù,26G*12,89,3318,312,H1,¨Rªw
8-18,°¨¥É¤s,©Ùºñ¥¤¯ù,20g*16¥]/³U,97,3630,320,H1,¨Rªw
8-19,°¨¥É¤s,¬´­»¬õ¥¤¯ù,20g*16¥]/³U,100,3630,320,H1,¨Rªw
8-20,¸q¬ü,¸g¨å­^¦¡¥¤¯ù,18g*18¥]/³U,110,3816,324,H1,¨Rªw
8-21,¸q¬ü,¸g¨å­ì¨ı¥¤¯ù,18g*18¥]/³U,105,3816,324,H1,¨Rªw
8-22,¼s¦N,¥xÆW¯ù«~¶°-¤é¤ë¼æ¥¤¯ù,20g*12¤J,119,3795,240,H1,¨Rªw
8-23,¼s¦N,¥xÆW¯ù«~¶°-«n§ë­á³»¯QÀs¥¤¯ù,20g*12¤J,99,3795,240,H1,¨Rªw
8-24,¼s¦N,ªk¦¡­»¯ó¥¤¯ù,,198,3795,240,H1,¨Rªw
8-25,¼s¦N,¼Ú¦¡¥¤¯ù,,178,3795,240,H1,¨Rªw
8-26,¼¯¥d,²{¦b³Ì¦n¥¤¯ù,18g*24¥],92,4048,432,H1,¨Rªw
8-27,¼¯¥d,²{¦b³Ì¦n¥©§J¤O­·¨ı¥¤¯ù,18g*22¥]/³U,95,4048,432,H1,¨Rªw
8-28,¼¯¥d,²{¦b³Ì¦n­»³Á¥¤¯ù,18g*24¥]/³U,96,4048,432,H1,¨Rªw
8-29,¥x¿},¥Õ¤­Ä_,30g*15¥]/³U,109,3816,450,H1,¨Rªw
8-30,¥x¿},¦³¾÷¶ÂÄ_½\¯»,30g*10¥]/²°,143,3816,450,H1,¨Rªw
8-31,¥x¿},¬õ¤­Ä_,30g*15¥]/³U,109,3816,450,H1,¨Rªw
8-32,¥x¿},¶Â¤­Ä_(·s),30g*15¥]/³U,113,3816,450,H1,¨Rªw
8-33,®Û®æ,¶W¯Å¥_®ü¹D-°íªG,30G*10¤J/³U,111,3318,300,H1,¨Rªw
8-34,®Û®æ,¶W¯Å¥_®ü¹D-´î¿},30G*10¤J/³U,104,3318,300,H1,¨Rªw
8-35,®Û®æ,¶W¯Å¥_®ü¹D-ÂA¥¤,30G*10¤J/³U,99,3318,300,H1,¨Rªw
8-36,®Û®æ,¶W¯ÅµL¿}½\¬Ã¤Q¤»½\,28G*10/³U,95,3318,280,H1,¨Rªw
8-37,®Û®æ,¶W¯ÅµL¿}½\¬Ã¥È¦Ì,28G*10¤J/³U,115,3318,280,H1,¨Rªw
8-38,®Û®æ,¶Â½\¬ÃÄ_½\ºë,32g*12¥]/³U,98,3318,384,H1,¨Rªw
8-39,®Û®æ,âB¬Ãµµ¦Ìµµ¤sÃÄ½¬ÃÂ,28g*12¥]/³U,94,3318,336,H1,¨Rªw
8-40,®Û®æ,½\¬Ã¤sÃÄ¦Ê¦Xíõ¤¯,28g*12¥]/³U,89,3318,336,H1,¨Rªw
8-41,®Û®æ,½\¬Ã°íªG¦h¦h-ªQ¤l°íªG,30g*12¥]/³U,89,3318,360,H1,¨Rªw
8-42,®Û®æ,½\¬Ã°íªG¦h¦h-°íªGªÛ³Â½k,30g*12¥]/³U,85,3318,360,H1,¨Rªw
8-43,®Û®æ,½\¬ÃµL¿}®Ö®ç°íªG,27g*12¥]/³U,85,3318,324,H1,¨Rªw
8-44,®Û®æ,½\¬ÃµL¿}°·±d¥ş½\À\,25g*12¥]/³U,94,3318,300,H1,¨Rªw
8-45,®Û®æ,ÂAâB¤ı-¤­ºØ°·±d¨§,38g*10¥]/³U,86,3318,380,H1,¨Rªw
8-46,®Û®æ,ÂAâB¤ı-¤­ºØ°·±dÛ£,26g*10¥]/³U,95,3318,260,H1,¨Rªw
8-47,®Û®æ,ÂAâB¤ı-²ùªG¦h,30g*10¥]/³U,86,3318,300,H1,¨Rªw
8-48,°¨¥É¤s,¦B¿}§ö¤¯¯ù,30g*14¥]/³U,89,3696,420,H1,¨Rªw
8-49,°¨¥É¤s,°ªÅÖ¤sÃÄ¦h½\½­µæµ°,35g¡Ñ12pcs¥],99,3696,420,H1,¨Rªw
8-50,°¨¥É¤s,°ªÅÖ½­µæ­FªŞ,35g*12¥]/³U,109,3696,420,H1,¨Rªw
8-51,°¨¥É¤s,¶Â¨§¥şâB´ş¾iÀ\,30g*14¥]/³U,99,3696,420,H1,¨Rªw
8-52,°¨¥É¤s,¶Â¨§¦h½\¾i¥Í¶¼,30g¡Ñ14pcs¥],99,3696,420,H1,¨Rªw
8-53,°¨¥É¤s,¶ÂªÛ³Â½k,30g*14¥]/³U,99,3696,420,H1,¨Rªw
8-54,°¨¥É¤s,ºdªG§ö¤¯¯ù,30g*13¥]/³U,96,3696,390,H1,¨Rªw
8-55,°¨¥É¤s,½­µæ¦h½\³Á­FªŞ,35g¡Ñ12pcs¥],109,3696,420,H1,¨Rªw
8-56,¸q¬ü,¦B¿}§ö¤¯¯ù,30g*14¥]/³U,119,3816,420,H1,¨Rªw
8-57,¸q¬ü,¶ÂªÛ³Â½k,30g*13¥]/³U,109,3816,390,H1,¨Rªw
8-58,¸q¬ü,ºdªG§ö¤¯¯ù,30g*13¥]/³U,109,3816,390,H1,¨Rªw
8-59,¸q¬ü,¿P³Áíõ¤¯¼ß,30g*14¥]/³U,110,3816,420,H1,¨Rªw
8-60,¸U·³µP,¤¸®ğ°íªG¶¼-§ö¤¯°íªG¶¼,28g*12¥]/³U,98,4356,336,H1,¨Rªw
8-61,¸U·³µP,¤¸®ğ°íªG¶¼-ªQ¤l°íªG¶¼,28g*12¥]/³U,109,4356,336,H1,¨Rªw
8-62,¸U·³µP,¤¸®ğ°íªG¶¼-ªÛ³Â°íªG¶¼,28g*12¥]/³U,97,4356,336,H1,¨Rªw
8-63,¸U·³µP,¤¸®ğ°íªG¶¼-¸yªG°íªG¶¼,28g*12¥]/³U,94,4356,336,H1,¨Rªw
8-64,¸U·³µP,¿P³Á°íªG¶¼-®ü­a©ø¥¬¿P³Á,32g*10¥]/³U,103,4356,320,H1,¨Rªw
8-65,¸U·³µP,¿P³Á°íªG¶¼-°íªGÅÖ½­¿P³Á,32g*10¥]/³U,119,4356,320,H1,¨Rªw
8-66,¼s¦N,°íªG¶¼-«n¥Ê¤lµµ¦Ì,30g*10¥],89,4174.5,300,H1,¨Rªw
8-67,¼s¦N,°íªG¶¼-®L«Â¦i§ö¤¯,30g*10¥]/³U,82,4174.5,300,H1,¨Rªw
